65.03.15.2026                                                                            26 Limpakon                                   Semula wil Kec. Lumbis, Perda No. 28/2011
65.03.15.2027                                                                            27 Labuk                                      Semula wil Kec. Lumbis, Perda No. 28/2011
65.03.15.2028                                                                            28 Nantukidan                                 Semula wil Kec. Lumbis, Perda No. 28/2011
65.03.15.2029                                                                            29 Labang                                     Semula wil Kec. Lumbis, Perda No. 28/2011
65.03.15.2030                                                                            30 Sumantipal                                 Semula wil Kec. Lumbis, Perda No. 28/2011
65.03.15.2031                                                                            31 Ngawol                                     Semula wil Kec. Lumbis, Perda No. 28/2011
65.03.15.2032                                                                            32 Bululaun Hilir                             Semula wil Kec. Lumbis, Perda No. 28/2011
65.03.15.2033                                                                            33 Lagas                                      Semula wil Kec. Lumbis, Perda No. 28/2011
65.03.15.2034                                                                            34 Panas                                      Semula wil Kec. Lumbis, Perda No. 28/2011
65.03.15.2035                                                                            35 Langgason                                  Semula wil Kec. Lumbis, Perda No. 28/2011
65.03.15.2036                                                                            36 Tambalang Hulu                             Semula wil Kec. Lumbis, Perda No. 28/2011
65.03.15.2037                                                                            37 Kuyo                                       Semula wil Kec. Lumbis, Perda No. 28/2011
65.03.15.2038                                                                            38 Bokok                                      Semula wil Kec. Lumbis, Perda No. 28/2011
65.03.15.2039                                                                            39 Tau Lumbis                                 Semula wil Kec. Lumbis, Perda No. 28/2011
65.03.15.2040                                                                            40 Bululaun Hulu                              Semula wil Kec. Lumbis, Perda No. 28/2011
65.03.15.2041                                                                            41 Kalisun                                    Semula wil Kec. Lumbis, Perda No. 28/2011
65.03.15.2042                                                                            42 Mamasin                                    Semula wil Kec. Lumbis, Perda No. 28/2011
65.03.15.2043                                                                            43 Sibalu                                     Semula wil Kec. Lumbis, Perda No. 28/2011
65.03.15.2044                                                                            44 Duyan                                      Semula wil Kec. Lumbis, Perda No. 28/2011
65.03.15.2045                                                                            45 Tuntulibing                                Semula wil Kec. Lumbis, Perda No. 28/2011
65.03.15.2046                                                                            46 Tetagas                                    Semula wil Kec. Lumbis, Perda No. 28/2011
65.03.15.2047                                                                            47 Kabungolor                                 Semula wil Kec. Lumbis, Perda No. 28/2011
65.03.15.2048                                                                            48 Lipaga                                     Semula wil Kec. Lumbis, Perda No. 28/2011
65.03.15.2049                                                                            49 Tantalujuk                                 Semula wil Kec. Lumbis, Perda No. 28/2011
65.03.16.2001                                                                          1 Lubok Buat                                Semula wil Kec. Sembakung, Perda No. 2/2012
65.03.16.2002                                                                          2 Katul                                     Semula wil Kec. Sembakung, Perda No. 2/2012
65.03.16.2003                                                                          3 Mambulu                                   Semula wil Kec. Sembakung, Perda No. 2/2012
65.03.16.2004                                                                          4 Pagaluyon                                 Semula wil Kec. Sembakung, Perda No. 2/2012
65.03.16.2005                                                                          5 Saduman                                   Semula wil Kec. Sembakung, Perda No. 2/2012
65.03.16.2006                                                                          6 Tulang                                    Semula wil Kec. Sembakung, Perda No. 2/2012
65.03.16.2007                                                                          7 Sabuluan                                  Semula wil Kec. Sembakung, Perda No. 2/2012
65.03.16.2008                                                                          8 Pulau Keras                               Semula wil Kec. Sembakung, Perda No. 2/2012
65.03.16.2009                                                                          9 Liuk Bulu                                 Semula wil Kec. Sembakung, Perda No. 2/2012
65.03.16.2010                                                                         10 Binanun                                   Semula wil Kec. Sembakung, Perda No. 2/2012
65.03.17.2001                                                                          1 Tang Paye                                 Semula wil Kec. Krayan Selatan, Perda No. 11/2015
65.03.17.2002                                                                          2 Long Rungan                               Semula wil Kec. Krayan Selatan, Perda No. 11/2015
65.03.17.2003                                                                          3 Long Kelupan                              Semula wil Kec. Krayan Selatan, Perda No. 11/2015
65.03.17.2004                                                                          4 Long Padi                                 Semula wil Kec. Krayan Selatan, Perda No. 11/2015
65.03.17.2005                                                                          5 Tang Badui                                Semula wil Kec. Krayan Selatan, Perda No. 11/2015
65.03.17.2006                                                                          6 Binuang                                   Semula wil Kec. Krayan Selatan, Perda No. 11/2015
65.03.17.2007                                                                          7 Long Mutan                                Semula wil Kec. Krayan Selatan, Perda No. 11/2015
65.03.17.2008                                                                          8 Pa' Milau                                 Semula wil Kec. Krayan Selatan, Perda No. 11/2015
65.03.17.2009                                                                          9 Ba' Liku                                  Semula wil Kec. Krayan Selatan, Perda No. 11/2015
65.03.17.2010                                                                         10 Long Rian                                 Semula wil Kec. Krayan Selatan, Perda No. 11/2015
65.03.17.2011                                                                         11 Pa' Yalau                                 Semula wil Kec. Krayan Selatan, Perda No. 11/2015
65.03.18.2001                                                                          1 Pa' Betung                                Semula wil Kec. Krayan, Perda No. 12/2015
65.03.18.2002                                                                          2 Long Sepayang                             Semula wil Kec. Krayan, Perda No. 12/2015
65.03.18.2003                                                                          3 Pa' Pawan                                 Semula wil Kec. Krayan, Perda No. 12/2015
65.03.18.2004                                                                          4 Pa' Melade                                Semula wil Kec. Krayan, Perda No. 12/2015
